Date,AA,BAC,BHI,CVX,DD,DOW,DPS,GS,HAL,HES,HON,HUN,JPM,KO,MMM,MPC,PEP,SLB,WFC,XOM,VV,return_AA,return_BAC,return_BHI,return_CVX,return_DD,return_DOW,return_DPS,return_GS,return_HAL,return_HES,return_HON,return_HUN,return_JPM,return_KO,return_MMM,return_MPC,return_PEP,return_SLB,return_WFC,return_XOM,response_VV
3-Jan-12,9.23,5.8,51.02,110.37,46.51,29.79,38.34,95.36,34.15,58.4,55.58,9.95,34.98,35.07,83.49,33.41,66.4,70.09,28.43,86,58.18,,,,,,,,,,,,,,,,,,,,,
4-Jan-12,9.45,5.81,51.53,110.18,47.02,29.95,38.55,94.74,35.12,59,55.53,9.87,34.95,34.85,84.18,33.76,66.74,69.56,28.56,86.02,58.25,0.0235557,0.00172265,0.0099464,-0.001723,0.0109057,0.00535656,0.00546236,-0.0065229,0.0280082,0.0102216,-0.00090001,-0.008073,-0.000858,-0.0062929,0.0082305,0.0104214,0.00510742,-0.0075904,0.00456221,0.000232531,0.00120244
5-Jan-12,9.36,6.31,50.82,109.1,46.7,30.14,38.79,94.58,34.56,57.6,55.59,9.82,35.68,34.68,83.8,31.92,66.22,68.07,29.02,85.76,58.44,-0.009569,0.082555106,-0.013874,-0.00985,-0.0068289,0.00632387,0.00620638,-0.0016903,-0.016074,-0.024015,0.00107991,-0.0050787,0.0206718,-0.00489,-0.0045244,-0.056044,-0.007822,-0.021653,0.0159781,-0.0030271,0.00325649
6-Jan-12,9.16,6.18,51.26,108.31,46.04,30.32,38.52,93.42,34.98,56.42,55.18,9.9,35.36,34.46,83.37,31.66,65.39,67.78,28.94,85.12,58.32,-0.021599,-0.020817,0.0086207,-0.0072674,-0.014234,0.00595437,-0.0069849,-0.012341,0.0120795,-0.020699,-0.0074028,0.0081136,-0.009009,-0.0063639,-0.0051445,-0.008179,-0.012613,-0.0042694,-0.0027605,-0.0074907,-0.0020555
9-Jan-12,9.42,6.27,51.58,109.49,46.43,30.31,38.52,94.69,35.38,56.9,55.64,9.84,35.3,34.46,83.87,30.96,65.73,68.82,29.3,85.5,58.45,0.0279889,0.0144581,0.00622328,0.0108357,0.0084352,-0.00032987,0,0.0135029,0.0113702,0.0084716,0.0083018,-0.006079,-0.0016983,0,0.00597945,-0.022358,0.0051861,0.0152272,0.0123628,0.00445435,0.0022266
10-Jan-12,9.44,6.63,51.95,109.06,47.14,30.98,38.62,98.33,36.33,58.56,56.58,10.2,36.05,34.67,84.3,31.83,65.66,70.75,29.41,85.72,58.99,0.00212089,0.0558284,0.00714772,-0.003935,0.0151761,0.0218641,0.00259269,0.0377208,0.0264972,0.0287565,0.0167532,0.035932,0.0210239,0.00607553,0.00511388,0.0277132,-0.0010655,0.0276581,0.00374724,0.00256979,0.0091963
11-Jan-12,9.63,6.87,50.21,107.77,47.3,31.43,38.15,99.76,35.38,57.94,56.46,10.59,36.66,34.03,83.77,32.89,65.01,70.16,29.62,85.08,59.06,0.0199272,0.0355593,-0.034068,-0.011899,0.0033884,0.014421,-0.012245,0.0144381,-0.026497,-0.010644,-0.0021231,0.0375224,0.0167794,-0.018632,-0.0063069,0.0327594,-0.009949,-0.008374,0.00711506,-0.0074942,0.00118594
12-Jan-12,9.93,6.79,48.29,104.97,48.1,32.56,37.96,101.21,34.73,57.01,57.19,11.03,36.85,33.78,84.28,32.64,64.62,69.7,29.61,84.74,59.2,0.0306773,-0.011713,-0.03899,-0.026325,0.0167719,0.0353217,-0.0049928,0.0144303,-0.018543,-0.016181,0.0128466,0.0407087,0.00516938,-0.0073736,0.00606964,-0.0076301,-0.0060171,-0.006578,-0.00033767,-0.0040042,0.00236767
13-Jan-12,9.8,6.61,48.02,106.09,48.4,32.02,37.82,98.96,33.94,56.55,56.7,11.21,35.92,33.5,83.6,33.03,64.4,67.99,29.61,84.88,58.95,-0.013178,-0.026867,-0.0056069,0.0106132,0.00621764,-0.016724,-0.0036949,-0.022482,-0.02301,-0.008101,-0.008605,0.0161874,-0.025561,-0.008323,-0.008101,0.0118777,-0.0034103,-0.02484,0,0.00165075,-0.0042319
17-Jan-12,9.76,6.48,47.7,106.72,48.54,32.64,37.63,97.68,33.86,57.39,57.16,10.85,34.91,33.68,84.23,33.54,64.65,67.64,29.82,85.69,59.1,-0.00409,-0.019863,-0.0066862,0.00592079,0.00288839,0.0191778,-0.0050365,-0.013019,-0.0023599,0.0147449,0.0080801,-0.032641,-0.028521,0.00535875,0.00750763,0.0153225,0.00387447,-0.0051611,0.00706717,0.0094976,0.0025413
